ip,status,hostnames
192.168.1.1,up,"[{'name': 'SAX1V1K.lan', 'type': 'PTR'}]"
192.168.1.123,up,"[{'name': '', 'type': ''}]"
192.168.1.124,up,"[{'name': '', 'type': ''}]"
192.168.1.127,up,"[{'name': 'SYSTEM01.lan', 'type': 'PTR'}]"
192.168.1.130,up,"[{'name': '', 'type': ''}]"
192.168.1.152,up,"[{'name': 'BRWDCE99452FC3A.lan', 'type': 'PTR'}]"
192.168.1.154,up,"[{'name': 'SYSTEM04.lan', 'type': 'PTR'}]"
192.168.1.197,up,"[{'name': 'SYSTEM03-83.lan', 'type': 'PTR'}]"
192.168.1.204,up,"[{'name': '', 'type': ''}]"
192.168.1.220,up,"[{'name': 'SYSTEM03.lan', 'type': 'PTR'}]"
192.168.1.233,up,"[{'name': '', 'type': ''}]"
192.168.1.64,up,"[{'name': 'iPhone.lan', 'type': 'PTR'}]"
192.168.1.83,up,"[{'name': 'RingStickUpCam-e6.lan', 'type': 'PTR'}]"
192.168.1.84,up,"[{'name': '', 'type': ''}]"
